number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_eps,params_lr,params_weight_decay,state
0,0.9028117060661316,2026-04-11 12:34:18.779177,2026-04-11 12:35:26.091159,0 days 00:01:07.311982,0.8375552502525293,0.9769284027757013,4.4114670620764025e-07,2.0435381653141558e-05,1.7195388596929956e-06,COMPLETE
1,0.9072104096412659,2026-04-11 12:35:26.109903,2026-04-11 12:36:33.232650,0 days 00:01:07.122747,0.8567239292904705,0.9473356542103725,4.5624465732771026e-08,0.04648145703988358,1.507560660844548e-06,COMPLETE
2,0.6361348628997803,2026-04-11 12:36:33.248440,2026-04-11 12:37:40.403514,0 days 00:01:07.155074,0.8466722366787979,0.9932282612998546,1.310717764067672e-07,0.004653381240864459,0.0013300970131132528,COMPLETE
3,0.7340091466903687,2026-04-11 12:37:40.425879,2026-04-11 12:38:47.265339,0 days 00:01:06.839460,0.9371575360590255,0.9814689105782102,6.101201626173939e-09,7.579140757835288e-05,0.0019104675689420926,COMPLETE
4,0.6128858923912048,2026-04-11 12:38:47.286179,2026-04-11 12:39:54.088051,0 days 00:01:06.801872,0.8475424131730338,0.9195744664754508,2.1883701919871646e-08,0.00015873398750161839,2.5586224456424647e-05,COMPLETE
5,0.8934147953987122,2026-04-11 12:39:54.105859,2026-04-11 12:41:00.852070,0 days 00:01:06.746211,0.9809279011939497,0.9322440508086494,7.630981723620546e-08,2.1426912932476416e-05,1.1771518536098733e-06,COMPLETE
6,0.8818034529685974,2026-04-11 12:41:00.871948,2026-04-11 12:42:08.062407,0 days 00:01:07.190459,0.9187631076891237,0.907990195562493,4.1758744706005985e-07,2.4427407083977518e-05,0.0016973191918480005,COMPLETE
7,0.7011167407035828,2026-04-11 12:42:08.083209,2026-04-11 12:43:15.264171,0 days 00:01:07.180962,0.8910968885622272,0.9126504727038044,1.9935136966039984e-09,0.00027232603961696355,0.0027816624001456673,COMPLETE
8,0.617704451084137,2026-04-11 12:43:15.284158,2026-04-11 12:44:22.575340,0 days 00:01:07.291182,0.8259010163788225,0.9903310793925744,8.034430617935839e-08,0.0005316792902684271,9.570480891658698e-05,COMPLETE
9,0.9643776416778564,2026-04-11 12:44:22.595533,2026-04-11 12:45:29.417234,0 days 00:01:06.821701,0.9000749733076177,0.9367530228471033,1.3768199751590794e-08,0.048821610391296226,1.0600435809830314e-06,COMPLETE
10,0.6756276488304138,2026-04-11 12:45:29.433333,2026-04-11 12:46:36.083340,0 days 00:01:06.650007,0.8026725567722298,0.9638060195327791,7.780501176217057e-09,0.004031296860148254,2.5890021342366945e-05,COMPLETE
11,0.6229502558708191,2026-04-11 12:46:36.101135,2026-04-11 12:47:42.939904,0 days 00:01:06.838769,0.8000721800216907,0.9238006141653681,3.417465861142376e-08,0.0005998121559486373,7.494515782398955e-05,COMPLETE
12,0.6012277603149414,2026-04-11 12:47:42.961705,2026-04-11 12:48:49.590695,0 days 00:01:06.628990,0.871127091181558,0.9571268924692584,1.9287296378209052e-07,0.0002364615874256756,2.0161401421874005e-05,COMPLETE
13,0.6288725733757019,2026-04-11 12:48:49.608046,2026-04-11 12:49:56.194297,0 days 00:01:06.586251,0.875520402870985,0.9629726527834302,9.050315015235705e-07,0.00012905797452198098,1.270956736636482e-05,COMPLETE
14,0.7587448954582214,2026-04-11 12:49:56.214404,2026-04-11 12:51:02.783732,0 days 00:01:06.569328,0.8725955684613089,0.9550789497736724,1.0013075858613399e-09,0.001868181474276992,7.590887655302848e-06,COMPLETE
15,0.685946524143219,2026-04-11 12:51:02.804724,2026-04-11 12:52:09.403391,0 days 00:01:06.598667,0.9309602475145863,0.9426275978566308,1.9133870414615525e-07,8.280497565974179e-05,0.0002266466829583807,COMPLETE
16,0.6115123629570007,2026-04-11 12:52:09.423608,2026-04-11 12:53:16.011496,0 days 00:01:06.587888,0.8269163714599529,0.9258209399335312,1.7969627698897193e-08,0.0002318766211991389,0.00035902437620258975,COMPLETE
17,0.594871461391449,2026-04-11 12:53:16.031667,2026-04-11 12:54:22.731797,0 days 00:01:06.700130,0.8156933551481959,0.9245016705298206,4.345075515028098e-09,0.0021492036503680937,0.0004260038676135205,COMPLETE
18,0.8392566442489624,2026-04-11 12:54:22.748385,2026-04-11 12:55:28.967623,0 days 00:01:06.219238,0.9780531929811385,0.9577843136223456,2.891383327569186e-09,0.010684192111357084,0.009896723671676369,COMPLETE
19,0.5990155339241028,2026-04-11 12:55:28.988076,2026-04-11 12:56:35.378573,0 days 00:01:06.390497,0.8183501381310093,0.9731449253978594,6.50949631692555e-09,0.0012861925971825153,0.00020953852878156438,COMPLETE
20,0.6607175469398499,2026-04-10 18:53:41.255522,2026-04-10 19:16:48.083475,0 days 00:23:06.827953,0.8442463253655748,0.9109846900206725,2.533574435133889e-09,0.02539074434841383,0.0022932174050058814,COMPLETE
21,0.6131977438926697,2026-04-10 18:53:41.256681,2026-04-10 19:16:48.950489,0 days 00:23:07.693808,0.8804877141080093,0.906998081971874,7.027883191629919e-09,0.0005023582969604547,0.00012949457297250727,COMPLETE
22,0.6071656942367554,2026-04-10 18:53:41.256352,2026-04-10 19:16:50.438473,0 days 00:23:09.182121,0.8047790415490915,0.9687859837526129,2.0231340049285934e-07,0.02424572655676604,5.1794667205555927e-05,COMPLETE
23,0.9284771084785461,2026-04-10 18:53:41.255967,2026-04-10 19:16:50.217381,0 days 00:23:08.961414,0.9329336979421639,0.9414378918884967,1.2942594554108182e-08,1.7558596727980614e-05,0.004349375176388378,COMPLETE
24,0.6199510097503662,2026-04-10 19:16:48.565435,2026-04-10 19:39:58.746762,0 days 00:23:10.181327,0.9530997306320215,0.978110725176666,2.7510805141069646e-08,0.015378749160739684,0.0011096049403303042,COMPLETE
25,0.6455869078636169,2026-04-10 19:16:49.569748,2026-04-10 19:40:00.397333,0 days 00:23:10.827585,0.870946940183022,0.9232032241776393,1.4202922923422156e-09,0.0166299080385607,4.230369375702023e-05,COMPLETE
26,0.9888556599617004,2026-04-10 19:16:50.495563,2026-04-10 19:40:01.460179,0 days 00:23:10.964616,0.814664804750965,0.9126660873233223,3.536646376614826e-08,0.0045447841052326955,1.5358460420131202e-06,COMPLETE
27,0.7174679040908813,2026-04-10 19:16:50.979980,2026-04-10 19:40:01.400811,0 days 00:23:10.420831,0.8333647430727942,0.9187500285307797,1.664706884725438e-07,6.432332681294872e-05,2.5949581253466366e-06,COMPLETE
28,0.6035975813865662,2026-04-10 19:39:59.199859,2026-04-10 19:51:32.131526,0 days 00:11:32.931667,0.9309478372165295,0.9555339944303999,4.660992632980786e-08,0.007988863670902355,0.00043711681809227554,COMPLETE
29,0.9233381748199463,2026-04-10 19:40:00.820229,2026-04-10 19:51:32.407430,0 days 00:11:31.587201,0.8624615550101646,0.9762614073747069,1.8060242311565218e-07,0.05193985017161113,2.0139053341579644e-06,COMPLETE
30,0.6064234375953674,2026-04-11 15:28:02.980591,2026-04-11 15:29:02.173633,0 days 00:00:59.193042,0.8186049285296959,0.9724639357074122,4.643295761191613e-09,0.0014223484419572635,0.0006777881951148732,COMPLETE
31,0.6019359230995178,2026-04-11 15:29:02.203279,2026-04-11 15:30:01.048425,0 days 00:00:58.845146,0.9007802211249384,0.9536639613059482,4.093111295529304e-07,0.002468354623700308,0.00041842220635159147,COMPLETE
32,0.595386266708374,2026-04-11 15:30:01.068660,2026-04-11 15:30:59.930935,0 days 00:00:58.862275,0.9051728388643737,0.9488029812978583,3.990891868291783e-07,0.002216233295819403,0.0001829376536124049,COMPLETE
33,0.6063528060913086,2026-04-11 15:30:59.951855,2026-04-11 15:31:58.823270,0 days 00:00:58.871415,0.9155442564463726,0.9470898880981347,6.688581270946816e-07,0.0007786760897197252,0.00018214975391937655,COMPLETE
34,0.5965850353240967,2026-04-11 15:31:58.843737,2026-04-11 15:32:57.740401,0 days 00:00:58.896664,0.8535965384688846,0.987194707517872,2.9523908951384345e-07,0.0014932940109276835,0.00020409871776836254,COMPLETE
35,0.6008996963500977,2026-04-11 15:32:57.759969,2026-04-11 15:33:56.722015,0 days 00:00:58.962046,0.852603460793189,0.9988757652127495,4.31668313546665e-09,0.0011688736217780088,0.0002406592966891555,COMPLETE
36,0.6131695508956909,2026-04-11 15:33:56.742999,2026-04-11 15:34:55.666022,0 days 00:00:58.923023,0.8417196402244288,0.9850830555055935,9.36683091967888e-08,0.00217393294432712,0.0007414421571224688,COMPLETE
